id,layer,capability,reference_system,reference_behavior,status,our_current,gap,priority,phase,suggested_modules,acceptance_criteria,depends_on,approach,notes
L3-04,appearance,Roughness / handloom irregularity,FabricGen procedural yarn (analogue),Slide; thickness jitter; tension,done,Procedural noise in handloom mode,Strand twist; hairiness; multi-ply,P2,done,src/pipeline/render/weave.js,Roughness>0 changes >5% pixels on handloom,,Add multi-octave strand twist/hair noise in weave.js handloom path; keep mulberry32 determinism,multi-octave strand twist + hair flecks in handloom
L3-05,appearance,Physically based / learned yarn shading,FabricGen,High-fidelity yarn BRDF / neural appearance,none,Simple cylinder + soft light shading,Only if product needs photoreal closeups,P3,phase-3,research spike,Side-by-side quality bar vs current cord/handloom,L3-04,Research spike only; A/B vs cord/handloom; no FabricGen weights,Do not import FabricGen weights
L3-06,appearance,Appearance plan in DesignSpec,FabricGen params;AdaCAD,Named appearance knobs from inputs,done,appearancePlan: mode/tightness/roughness,—,P0,done,src/pipeline/generative.js,Generate applies appearance to UI/state,,—,
L4-01,inputs-generate,Environmental parametric mapping,Vibeweaving;AuralTextiles,Normalize sensors → textile params,done,env → DesignSpec maps,Richer schemas; time-series; geo weather fetch,P1,done,src/pipeline/generative.js;API,Documented map; extreme env clamps,L5-05,Polish: document env→DesignSpec next to inspector; keep clamp tests,env map + glitch; defaults list structures
L4-02,inputs-generate,DesignSpec as editable dataflow surface,AdaCAD,Named params between inputs and materialize,done,resolveDesignSpec internal object,User-editable DesignSpec JSON UI + re-materialize,P1,done,src/pipeline/generative.js;src/tools/GenerateTool.jsx,Edit one DesignSpec field; output changes; seed stable elsewhere,L2-04,Split materializeFromDesignSpec from env map; API accepts designSpec body; UI edits then rematerializes,materializeFromDesignSpec + POST /api/generate {designSpec}
L4-03,inputs-generate,Provenance bundle,Data→textile projects,Record inputs/style/seed with artifact,done,generative blob on model/config,Export provenance.md/json with every save,P1,done,src/pipeline/config.js;TapestryStage,Saved profile contains env+style+seed+DesignSpec+validity,L4-02,Normalize config.meta.provenance; write on save/export for photo+generate including validity+spec,meta.provenance + Provenance export button
L4-04,inputs-generate,Diffusion / LLM draft synthesis,FabricGen,End-to-end learned generation,none,—,Out of scope unless explicitly funded,P3,wontfix-unless,—,—,,Do not implement unless explicitly funded,Prefer parametric + fingerprint
L4-05,inputs-photo,Photo analysis modes,Image→textile tools,Multiple interpretations of same photo,done,PHOTO_MODES,—,P0,done,src/pipeline/transform.js,Modes differ markBias/k/assign/flatten,,—,
L4-06,inputs-photo,Perspective flatten / document mode,Classic photogrammetry + Albers document,Quad warp vs flat frame,done,warpQuad + document flatten:false,—,P0,done,src/pipeline/geometry.js;transform.js,,,—,
L5-01,tooling-api,Separate Photo vs Generate tools,Product architecture,Own routes and APIs; shared construction,done,/photo /generate + APIs,—,P0,done,server.js;src/tools/*,,,—,
L5-02,tooling-api,Profile save / reload bit-identical,Studio requirement,Config re-renders without source,done,modelToConfig/configToModel + SQLite,Include weave appearance + photoMode in meta consistently,P1,done,src/pipeline/config.js,PNG hash match across reload for same targetW/seed,L4-03,Always persist meta.weave + photoMode on save; hash test same targetW/seed,weave/photoMode/designSpec persisted in meta
L5-03,tooling-api,Fingerprint API,Style prior service,Extract/blend priors,done,/api/fingerprint + per-config route,Batch library analytics,P2,phase-2,server.js;fingerprint.js,,,Optional batch analytics later; core API done,
L5-04,tooling-ui,Shared construction controls UI,—,Mode/tightness/roughness once,done,TapestryStage,—,P0,done,src/components/TapestryStage.jsx,,,—,
L5-05,tooling-ui,DesignSpec inspector,AdaCAD param surface,Show/edit named plans,done,Readout of generative summary,Inspector panel for gauge/palette/structure/density/appearance,P1,done,src/tools/GenerateTool.jsx,All DesignSpec fields visible; editable subset,L4-02,GenerateTool inspector sections bound to DesignSpec; Rematerialize button; photo out of scope,DesignSpec inspector on GenerateTool
L5-06,exports,SVG yarn layers,Albers layer thinking,Editable layered SVG,done,modelToSvg,—,P0,done,src/pipeline/svg.js,One layer per yarn + floats,,—,
L5-07,exports,Draft image export,Jacquard visualization,Binary lift visualization,done,renderDraftImage,—,P0,done,src/pipeline/render/v2.js,,,—,
L5-08,exports,WIF / industrial interchange,AdaCAD ecosystem,Standard weave file formats,done,—,WIF write/read round-trip,P2,done,src/pipeline/export-wif.js,Round-trip draft bits identical,L2-09,export-wif.js read/write round-trip; share draft bytes with L2-09,WIF + lift JSON round-trip
L6-01,quality,Unit + API tests for pipeline,Engineering,Regression on generative/transform/construct,done,npm test,Expand draft-ops + DesignSpec edit tests as built,P0,ongoing,test/run.mjs;test/api.mjs,CI green on each phase,L2-04;L4-02,Add tests whenever draft-ops/DesignSpec land,"tests cover draft-ops, DesignSpec, WIF, repair"
L6-02,quality,Visual golden images per weave mode,Fabric render eval,Perceptual regression,none,Determinism checks only,Optional PNG fixtures per mode,P2,phase-2,test/golden/*,Pixel or SSIM threshold vs golden,,Commit golden PNGs per weave mode; SSIM/pixel threshold in test/golden,
L6-03,docs,Method map vs research systems,—,Honest analogues not code reuse,done,docs/generative-textile-methods.md;anni-albers profile,Keep capability-map.csv in sync each phase,P0,ongoing,docs/capability-map.csv,Status column matches code,,Update CSV status+approach when milestones merge,
